1,2,3
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
3.003003003003002977e-02,6.005103341299227598e-02,5.000000000000000000e+00
6.006006006006005954e-02,1.200479167112752793e-01,5.000000000000000000e+00
9.009009009009008584e-02,1.799365486091899224e-01,5.000000000000000000e+00
1.201201201201201191e-01,2.396629254351465843e-01,5.000000000000000000e+00
1.501501501501501523e-01,2.991731898286223990e-01,5.000000000000000000e+00
1.801801801801801717e-01,3.584136793052246639e-01,5.000000000000000000e+00
2.102102102102102188e-01,4.173309746460280856e-01,5.000000000000000000e+00
2.402402402402402382e-01,4.758719480675499547e-01,5.000000000000000000e+00
2.702702702702702853e-01,5.339838111289293421e-01,5.000000000000000000e+00
3.003003003003003046e-01,5.916141623331078181e-01,5.000000000000000000e+00
3.303303303303303240e-01,6.487110343790903899e-01,5.000000000000000000e+00
3.603603603603603434e-01,7.052229410226756867e-01,5.000000000000000000e+00
3.903903903903903627e-01,7.610989235034020250e-01,5.000000000000000000e+00
4.204204204204204376e-01,8.162885964958408458e-01,5.000000000000000000e+00
4.504504504504504570e-01,8.707421935438054428e-01,5.000000000000000000e+00
4.804804804804804763e-01,9.244106119365033125e-01,5.000000000000000000e+00
5.105105105105105512e-01,9.772454569861654949e-01,5.000000000000000000e+00
5.405405405405405705e-01,1.029199085667227065e+00,5.000000000000000000e+00
5.705705705705705899e-01,1.080224649577707918e+00,5.000000000000000000e+00
6.006006006006006093e-01,1.130276137184053953e+00,5.000000000000000000e+00
6.306306306306306286e-01,1.179308415311343783e+00,5.000000000000000000e+00
6.606606606606606480e-01,1.227277269841448470e+00,5.000000000000000000e+00
6.906906906906906674e-01,1.274139445582448404e+00,5.000000000000000000e+00
7.207207207207206867e-01,1.319852685273349202e+00,5.000000000000000000e+00
7.507507507507507061e-01,1.364375767688931429e+00,5.000000000000000000e+00
7.807807807807807254e-01,1.407668544810368294e+00,5.000000000000000000e+00
8.108108108108108558e-01,1.449691978028097905e+00,5.000000000000000000e+00
8.408408408408408752e-01,1.490408173344300646e+00,5.000000000000000000e+00
8.708708708708708945e-01,1.529780415543240846e+00,5.000000000000000000e+00
9.009009009009009139e-01,1.567773201298660046e+00,5.000000000000000000e+00
9.309309309309309333e-01,1.604352271188365986e+00,5.000000000000000000e+00
9.609609609609609526e-01,1.639484640587150155e+00,5.000000000000000000e+00
9.909909909909909720e-01,1.673138629410177991e+00,5.000000000000000000e+00
1.021021021021021102e+00,1.705283890680026948e+00,5.000000000000000000e+00
1.051051051051051122e+00,1.735891437891615707e+00,5.000000000000000000e+00
1.081081081081081141e+00,1.764933671150350714e+00,5.000000000000000000e+00
1.111111111111111160e+00,1.792384402059912674e+00,5.000000000000000000e+00
