t,Vin,Vout
1.573152544847269407e+00,2.160544593014615433e+00,5.000000000000000000e+00
1.573183961087967653e+00,2.160707665864391114e+00,5.000000000000000000e+00
1.573215377328666120e+00,2.160870672646008739e+00,5.000000000000000000e+00
1.573246793569364366e+00,2.161033613312457469e+00,5.000000000000000000e+00
1.573278209810062611e+00,2.161196487816746892e+00,5.000000000000000000e+00
1.573309626050760857e+00,2.161359296111909689e+00,5.000000000000000000e+00
1.573341042291459324e+00,2.161522038150998082e+00,5.000000000000000000e+00
1.573372458532157570e+00,2.161684713887082498e+00,5.000000000000000000e+00
1.573403874772855815e+00,2.161847323273254240e+00,5.000000000000000000e+00
1.573435291013554060e+00,2.162009866262629920e+00,5.000000000000000000e+00
1.573466707254252528e+00,2.162172342808343029e+00,5.000000000000000000e+00
1.573498123494950773e+00,2.162334752863545706e+00,5.000000000000000000e+00
1.573529539735649019e+00,2.162497096381415407e+00,5.000000000000000000e+00
1.573560955976347486e+00,2.162659373315146905e+00,5.000000000000000000e+00
1.573592372217045732e+00,2.162821583617956733e+00,5.000000000000000000e+00
1.573623788457743977e+00,2.162983727243083187e+00,5.000000000000000000e+00
1.573655204698442223e+00,2.163145804143783657e+00,5.000000000000000000e+00
1.573686620939140690e+00,2.163307814273338181e+00,5.000000000000000000e+00
1.573718037179838936e+00,2.163469757585043673e+00,5.000000000000000000e+00
1.573749453420537181e+00,2.163631634032221918e+00,5.000000000000000000e+00
1.573780869661235426e+00,2.163793443568214236e+00,5.000000000000000000e+00
1.573812285901933894e+00,2.163955186146383269e+00,5.000000000000000000e+00
1.573843702142632139e+00,2.164116861720108531e+00,5.000000000000000000e+00
1.573875118383330385e+00,2.164278470242796626e+00,5.000000000000000000e+00
1.573906534624028852e+00,2.164440011667871033e+00,5.000000000000000000e+00
1.573937950864727098e+00,2.164601485948776105e+00,5.000000000000000000e+00
1.573969367105425343e+00,2.164762893038976621e+00,5.000000000000000000e+00
1.574000783346123589e+00,2.164924232891961786e+00,5.000000000000000000e+00
1.574032199586822056e+00,2.165085505461240789e+00,5.000000000000000000e+00
1.574063615827520302e+00,2.165246710700337474e+00,5.000000000000000000e+00
1.574095032068218547e+00,2.165407848562804549e+00,5.000000000000000000e+00
1.574126448308916792e+00,2.165568919002210713e+00,5.000000000000000000e+00
1.574157864549615260e+00,2.165729921972150418e+00,5.000000000000000000e+00
1.574189280790313505e+00,2.165890857426233218e+00,5.000000000000000000e+00
1.574220697031011751e+00,2.166051725318092647e+00,5.000000000000000000e+00
1.574252113271709996e+00,2.166212525601383554e+00,5.000000000000000000e+00
1.574283529512408464e+00,2.166373258229782550e+00,5.000000000000000000e+00
1.574314945753106709e+00,2.166533923156983565e+00,5.000000000000000000e+00
1.574346361993804955e+00,2.166694520336705398e+00,5.000000000000000000e+00
