t,Vin,Vout
1.290012900129001126e-02,2.579954242406681808e-02,5.000000000000000000e+00
1.320013200132001165e-02,2.639949733031929716e-02,5.000000000000000000e+00
1.350013500135001203e-02,2.699944986056951324e-02,5.000000000000000000e+00
1.380013800138001241e-02,2.759939996082065930e-02,5.000000000000000000e+00
1.410014100141001279e-02,2.819934757707614689e-02,5.000000000000000000e+00
1.440014400144001318e-02,2.879929265533961655e-02,5.000000000000000000e+00
1.470014700147001356e-02,2.939923514161492391e-02,5.000000000000000000e+00
1.500015000150001394e-02,2.999917498190616746e-02,5.000000000000000000e+00
1.530015300153001433e-02,3.059911212221768512e-02,5.000000000000000000e+00
1.560015600156001471e-02,3.119904650855405415e-02,5.000000000000000000e+00
1.590015900159001336e-02,3.179897808692009470e-02,5.000000000000000000e+00
1.620016200162001374e-02,3.239890680332089407e-02,5.000000000000000000e+00
1.650016500165001412e-02,3.299883260376178240e-02,5.000000000000000000e+00
1.680016800168001451e-02,3.359875543424836047e-02,5.000000000000000000e+00
1.710017100171001489e-02,3.419867524078649967e-02,5.000000000000000000e+00
1.740017400174001527e-02,3.479859196938232119e-02,5.000000000000000000e+00
1.770017700177001566e-02,3.539850556604225845e-02,5.000000000000000000e+00
1.800018000180001604e-02,3.599841597677299471e-02,5.000000000000000000e+00
1.830018300183001642e-02,3.659832314758152544e-02,5.000000000000000000e+00
1.860018600186001680e-02,3.719822702447511675e-02,5.000000000000000000e+00
1.890018900189001719e-02,3.779812755346134007e-02,5.000000000000000000e+00
1.920019200192001757e-02,3.839802468054807905e-02,5.000000000000000000e+00
1.950019500195001795e-02,3.899791835174349491e-02,5.000000000000000000e+00
1.980019800198001834e-02,3.959780851305609584e-02,5.000000000000000000e+00
2.010020100201001872e-02,4.019769511049468141e-02,5.000000000000000000e+00
2.040020400204001910e-02,4.079757809006837044e-02,5.000000000000000000e+00
2.070020700207001949e-02,4.139745739778662864e-02,5.000000000000000000e+00
2.100021000210001987e-02,4.199733297965922707e-02,5.000000000000000000e+00
2.130021300213002025e-02,4.259720478169629065e-02,5.000000000000000000e+00
2.160021600216002063e-02,4.319707274990827739e-02,5.000000000000000000e+00
2.190021900219002102e-02,4.379693683030599222e-02,5.000000000000000000e+00
2.220022200222002140e-02,4.439679696890058008e-02,5.000000000000000000e+00
2.250022500225002178e-02,4.499665311170356063e-02,5.000000000000000000e+00
2.280022800228002217e-02,4.559650520472679353e-02,5.000000000000000000e+00
2.310023100231002255e-02,4.619635319398252005e-02,5.000000000000000000e+00
2.340023400234002293e-02,4.679619702548332844e-02,5.000000000000000000e+00
2.370023700237002331e-02,4.739603664524220245e-02,5.000000000000000000e+00
2.400024000240002370e-02,4.799587199927250053e-02,5.000000000000000000e+00
2.430024300243002061e-02,4.859570303358794197e-02,5.000000000000000000e+00
2.460024600246002099e-02,4.919552969420268318e-02,5.000000000000000000e+00
2.490024900249002138e-02,4.979535192713123448e-02,5.000000000000000000e+00
2.520025200252002176e-02,5.039516967838850864e-02,5.000000000000000000e+00
2.550025500255002214e-02,5.099498289398983475e-02,5.000000000000000000e+00
2.580025800258002253e-02,5.159479151995093743e-02,5.000000000000000000e+00
2.610026100261002291e-02,5.219459550228797151e-02,5.000000000000000000e+00
2.640026400264002329e-02,5.279439478701749427e-02,5.000000000000000000e+00
2.670026700267002367e-02,5.339418932015648628e-02,5.000000000000000000e+00
2.700027000270002406e-02,5.399397904772236523e-02,5.000000000000000000e+00
2.730027300273002444e-02,5.459376391573297904e-02,5.000000000000000000e+00
2.760027600276002482e-02,5.519354387020660585e-02,5.000000000000000000e+00
2.790027900279002521e-02,5.579331885716197481e-02,5.000000000000000000e+00
2.820028200282002559e-02,5.639308882261825223e-02,5.000000000000000000e+00
2.850028500285002597e-02,5.699285371259506239e-02,5.000000000000000000e+00
2.880028800288002636e-02,5.759261347311248752e-02,5.000000000000000000e+00
2.910029100291002674e-02,5.819236805019107478e-02,5.000000000000000000e+00
2.940029400294002712e-02,5.879211738985182234e-02,5.000000000000000000e+00
2.970029700297002750e-02,5.939186143811622104e-02,5.000000000000000000e+00
3.000030000300002789e-02,5.999160014100622662e-02,5.000000000000000000e+00
3.030030300303002827e-02,6.059133344454427361e-02,5.000000000000000000e+00
3.060030600306002865e-02,6.119106129475328226e-02,5.000000000000000000e+00
3.090030900309002904e-02,6.179078363765667242e-02,5.000000000000000000e+00
3.120031200312002942e-02,6.239050041927834966e-02,5.000000000000000000e+00
3.150031500315002980e-02,6.299021158564271916e-02,5.000000000000000000e+00
3.180031800318002672e-02,6.358991708277471344e-02,5.000000000000000000e+00
3.210032100321003057e-02,6.418961685669975770e-02,5.000000000000000000e+00
3.240032400324002748e-02,6.478931085344376284e-02,5.000000000000000000e+00
3.270032700327003133e-02,6.538899901903323653e-02,5.000000000000000000e+00
3.300033000330002825e-02,6.598868129949511663e-02,5.000000000000000000e+00
3.330033300333003210e-02,6.658835764085696551e-02,5.000000000000000000e+00
3.360033600336002901e-02,6.718802798914678964e-02,5.000000000000000000e+00
3.390033900339003287e-02,6.778769229039321997e-02,5.000000000000000000e+00
3.420034200342002978e-02,6.838735049062535931e-02,5.000000000000000000e+00
3.450034500345003363e-02,6.898700253587290721e-02,5.000000000000000000e+00
3.480034800348003055e-02,6.958664837216609056e-02,5.000000000000000000e+00
3.510035100351003440e-02,7.018628794553571915e-02,5.000000000000000000e+00
3.540035400354003131e-02,7.078592120201313009e-02,5.000000000000000000e+00
3.570035700357003516e-02,7.138554808763027115e-02,5.000000000000000000e+00
3.600036000360003208e-02,7.198516854841961743e-02,5.000000000000000000e+00
3.630036300363003593e-02,7.258478253041429629e-02,5.000000000000000000e+00
3.660036600366003284e-02,7.318438997964792081e-02,5.000000000000000000e+00
3.690036900369003670e-02,7.378399084215478410e-02,5.000000000000000000e+00
3.720037200372003361e-02,7.438358506396969272e-02,5.000000000000000000e+00
3.750037500375003746e-02,7.498317259112810551e-02,5.000000000000000000e+00
3.780037800378003437e-02,7.558275336966606417e-02,5.000000000000000000e+00
3.810038100381003823e-02,7.618232734562022102e-02,5.000000000000000000e+00
3.840038400384003514e-02,7.678189446502782511e-02,5.000000000000000000e+00
3.870038700387003205e-02,7.738145467392677779e-02,5.000000000000000000e+00
3.900039000390003591e-02,7.798100791835559098e-02,5.000000000000000000e+00
3.930039300393003282e-02,7.858055414435334562e-02,5.000000000000000000e+00
3.960039600396003667e-02,7.918009329795985818e-02,5.000000000000000000e+00
3.990039900399003359e-02,7.977962532521548633e-02,5.000000000000000000e+00
4.020040200402003744e-02,8.037915017216129554e-02,5.000000000000000000e+00
4.050040500405003435e-02,8.097866778483894801e-02,5.000000000000000000e+00
4.080040800408003820e-02,8.157817810929081370e-02,5.000000000000000000e+00
4.110041100411003512e-02,8.217768109155983158e-02,5.000000000000000000e+00
4.140041400414003897e-02,8.277717667768970389e-02,5.000000000000000000e+00
4.170041700417003588e-02,8.337666481372471572e-02,5.000000000000000000e+00
4.200042000420003974e-02,8.397614544570988770e-02,5.000000000000000000e+00
4.230042300423003665e-02,8.457561851969085109e-02,5.000000000000000000e+00
4.260042600426004050e-02,8.517508398171397266e-02,5.000000000000000000e+00
4.290042900429003742e-02,8.577454177782627143e-02,5.000000000000000000e+00
4.320043200432004127e-02,8.637399185407548807e-02,5.000000000000000000e+00
4.350043500435003818e-02,8.697343415651000165e-02,5.000000000000000000e+00
4.380043800438004203e-02,8.757286863117895448e-02,5.000000000000000000e+00
4.410044100441003895e-02,8.817229522413214116e-02,5.000000000000000000e+00
4.440044400444004280e-02,8.877171388142013342e-02,5.000000000000000000e+00
4.470044700447003971e-02,8.937112454909411363e-02,5.000000000000000000e+00
4.500045000450004357e-02,8.997052717320609683e-02,5.000000000000000000e+00
4.530045300453004048e-02,9.056992169980873641e-02,5.000000000000000000e+00
4.560045600456004433e-02,9.116930807495546296e-02,5.000000000000000000e+00
4.590045900459004125e-02,9.176868624470040092e-02,5.000000000000000000e+00
4.620046200462004510e-02,9.236805615509847966e-02,5.000000000000000000e+00
4.650046500465004201e-02,9.296741775220528081e-02,5.000000000000000000e+00
4.680046800468004586e-02,9.356677098207720478e-02,5.000000000000000000e+00
4.710047100471004278e-02,9.416611579077138749e-02,5.000000000000000000e+00
4.740047400474004663e-02,9.476545212434571430e-02,5.000000000000000000e+00
4.770047700477004354e-02,9.536477992885881994e-02,5.000000000000000000e+00
4.800048000480004740e-02,9.596409915037014404e-02,5.000000000000000000e+00
4.830048300483004431e-02,9.656340973493986179e-02,5.000000000000000000e+00
4.860048600486004122e-02,9.716271162862895328e-02,5.000000000000000000e+00
4.890048900489004507e-02,9.776200477749918960e-02,5.000000000000000000e+00
4.920049200492004199e-02,9.836128912761306353e-02,5.000000000000000000e+00
4.950049500495004584e-02,9.896056462503395601e-02,5.000000000000000000e+00
4.980049800498004275e-02,9.955983121582594186e-02,5.000000000000000000e+00
5.010050100501004661e-02,1.001590888460539980e-01,5.000000000000000000e+00
5.040050400504004352e-02,1.007583374617838090e-01,5.000000000000000000e+00
5.070050700507004737e-02,1.013575770090819755e-01,5.000000000000000000e+00
5.100051000510004429e-02,1.019568074340158059e-01,5.000000000000000000e+00
5.130051300513004814e-02,1.025560286826535383e-01,5.000000000000000000e+00
5.160051600516004505e-02,1.031552407010641326e-01,5.000000000000000000e+00
5.190051900519004890e-02,1.037544434353174644e-01,5.000000000000000000e+00
5.220052200522004582e-02,1.043536368314841867e-01,5.000000000000000000e+00
5.250052500525004967e-02,1.049528208356358405e-01,5.000000000000000000e+00
5.280052800528004658e-02,1.055519953938447580e-01,5.000000000000000000e+00
5.310053100531005044e-02,1.061511604521841734e-01,5.000000000000000000e+00
5.340053400534004735e-02,1.067503159567281396e-01,5.000000000000000000e+00
5.370053700537005120e-02,1.073494618535515976e-01,5.000000000000000000e+00
5.400054000540004812e-02,1.079485980887303215e-01,5.000000000000000000e+00
5.430054300543005197e-02,1.085477246083409869e-01,5.000000000000000000e+00
5.460054600546004888e-02,1.091468413584611025e-01,5.000000000000000000e+00
5.490054900549005273e-02,1.097459482851691204e-01,5.000000000000000000e+00
5.520055200552004965e-02,1.103450453345443116e-01,5.000000000000000000e+00
5.550055500555005350e-02,1.109441324526668909e-01,5.000000000000000000e+00
5.580055800558005041e-02,1.115432095856178918e-01,5.000000000000000000e+00
5.610056100561005427e-02,1.121422766794793469e-01,5.000000000000000000e+00
5.640056400564005118e-02,1.127413336803341076e-01,5.000000000000000000e+00
5.670056700567005503e-02,1.133403805342659831e-01,5.000000000000000000e+00
5.700057000570005195e-02,1.139394171873596706e-01,5.000000000000000000e+00
5.730057300573005580e-02,1.145384435857007971e-01,5.000000000000000000e+00
5.760057600576005271e-02,1.151374596753758917e-01,5.000000000000000000e+00
5.790057900579004962e-02,1.157364654024724410e-01,5.000000000000000000e+00
