t,Vin,Vout
3.405630448538696786e+00,-4.425525154456858568e-01,5.000000000000000000e+00
3.405661864779395032e+00,-4.427052820467940464e-01,5.000000000000000000e+00
3.405693281020093277e+00,-4.428580569147105850e-01,5.000000000000000000e+00
3.405724697260791523e+00,-4.430108400376678301e-01,5.000000000000000000e+00
3.405756113501490212e+00,-4.431636314038884805e-01,5.000000000000000000e+00
3.405787529742188013e+00,-4.433164310015857423e-01,5.000000000000000000e+00
3.405818945982886703e+00,-4.434692388189740986e-01,5.000000000000000000e+00
3.405850362223584948e+00,-4.436220548442543210e-01,5.000000000000000000e+00
3.405881778464283194e+00,-4.437748790656245723e-01,5.000000000000000000e+00
3.405913194704981439e+00,-4.439277114712713579e-01,5.000000000000000000e+00
3.405944610945679685e+00,-4.440805520493826819e-01,5.000000000000000000e+00
3.405976027186378374e+00,-4.442334007881299507e-01,5.000000000000000000e+00
3.406007443427076176e+00,-4.443862576756800187e-01,5.000000000000000000e+00
3.406038859667774865e+00,-4.445391227002052914e-01,5.000000000000000000e+00
3.406070275908473111e+00,-4.446919958498497527e-01,5.000000000000000000e+00
3.406101692149171356e+00,-4.448448771127668233e-01,5.000000000000000000e+00
3.406133108389869601e+00,-4.449977664771014307e-01,5.000000000000000000e+00
3.406164524630567847e+00,-4.451506639309821267e-01,5.000000000000000000e+00
3.406195940871266536e+00,-4.453035694625440688e-01,5.000000000000000000e+00
3.406227357111964338e+00,-4.454564830598988778e-01,5.000000000000000000e+00
3.406258773352663027e+00,-4.456094047111714418e-01,5.000000000000000000e+00
3.406290189593361273e+00,-4.457623344044634450e-01,5.000000000000000000e+00
3.406321605834059518e+00,-4.459152721278748510e-01,5.000000000000000000e+00
3.406353022074757764e+00,-4.460682178695043465e-01,5.000000000000000000e+00
3.406384438315456009e+00,-4.462211716174328546e-01,5.000000000000000000e+00
3.406415854556154699e+00,-4.463741333597466832e-01,5.000000000000000000e+00
3.406447270796852500e+00,-4.465271030845133216e-01,5.000000000000000000e+00
3.406478687037551190e+00,-4.466800807798037565e-01,5.000000000000000000e+00
3.406510103278248991e+00,-4.468330664336742641e-01,5.000000000000000000e+00
3.406541519518947680e+00,-4.469860600341821755e-01,5.000000000000000000e+00
3.406572935759645926e+00,-4.471390615693674464e-01,5.000000000000000000e+00
3.406604352000344171e+00,-4.472920710272745293e-01,5.000000000000000000e+00
3.406635768241042417e+00,-4.474450883959312231e-01,5.000000000000000000e+00
3.406667184481740662e+00,-4.475981136633662150e-01,5.000000000000000000e+00
3.406698600722439352e+00,-4.477511468175999210e-01,5.000000000000000000e+00
3.406730016963137153e+00,-4.479041878466352156e-01,5.000000000000000000e+00
3.406761433203835843e+00,-4.480572367384895727e-01,5.000000000000000000e+00
3.406792849444534088e+00,-4.482102934811491579e-01,5.000000000000000000e+00
3.406824265685232334e+00,-4.483633580626100734e-01,5.000000000000000000e+00
3.406855681925930579e+00,-4.485164304708597061e-01,5.000000000000000000e+00
3.406887098166628824e+00,-4.486695106938692335e-01,5.000000000000000000e+00
3.406918514407327514e+00,-4.488225987196172162e-01,5.000000000000000000e+00
3.406949930648025315e+00,-4.489756945360554585e-01,5.000000000000000000e+00
3.406981346888724005e+00,-4.491287981311515298e-01,5.000000000000000000e+00
3.407012763129422250e+00,-4.492819094928517942e-01,5.000000000000000000e+00
3.407044179370120496e+00,-4.494350286090980084e-01,5.000000000000000000e+00
3.407075595610818741e+00,-4.495881554678263781e-01,5.000000000000000000e+00
3.407107011851516987e+00,-4.497412900569696115e-01,5.000000000000000000e+00
3.407138428092215676e+00,-4.498944323644486487e-01,5.000000000000000000e+00
3.407169844332913478e+00,-4.500475823781757700e-01,5.000000000000000000e+00
3.407201260573612167e+00,-4.502007400860640329e-01,5.000000000000000000e+00
3.407232676814310413e+00,-4.503539054760128391e-01,5.000000000000000000e+00
3.407264093055008658e+00,-4.505070785359190921e-01,5.000000000000000000e+00
3.407295509295706903e+00,-4.506602592536679275e-01,5.000000000000000000e+00
3.407326925536405149e+00,-4.508134476171444804e-01,5.000000000000000000e+00
3.407358341777103838e+00,-4.509666436142223400e-01,5.000000000000000000e+00
3.407389758017801640e+00,-4.511198472327630493e-01,5.000000000000000000e+00
3.407421174258500329e+00,-4.512730584606390316e-01,5.000000000000000000e+00
3.407452590499198131e+00,-4.514262772856894590e-01,5.000000000000000000e+00
3.407484006739896820e+00,-4.515795036957767628e-01,5.000000000000000000e+00
3.407515422980595066e+00,-4.517327376787282911e-01,5.000000000000000000e+00
3.407546839221293311e+00,-4.518859792223831606e-01,5.000000000000000000e+00
3.407578255461991557e+00,-4.520392283145677204e-01,5.000000000000000000e+00
3.407609671702689802e+00,-4.521924849430981053e-01,5.000000000000000000e+00
3.407641087943388492e+00,-4.523457490957920601e-01,5.000000000000000000e+00
3.407672504184086293e+00,-4.524990207604493997e-01,5.000000000000000000e+00
3.407703920424784982e+00,-4.526522999248731582e-01,5.000000000000000000e+00
3.407735336665483228e+00,-4.528055865768549904e-01,5.000000000000000000e+00
3.407766752906181473e+00,-4.529588807041756704e-01,5.000000000000000000e+00
3.407798169146879719e+00,-4.531121822946161393e-01,5.000000000000000000e+00
3.407829585387577964e+00,-4.532654913359497328e-01,5.000000000000000000e+00
3.407861001628276654e+00,-4.534188078159396840e-01,5.000000000000000000e+00
3.407892417868974455e+00,-4.535721317223397886e-01,5.000000000000000000e+00
3.407923834109673145e+00,-4.537254630429061186e-01,5.000000000000000000e+00
3.407955250350371390e+00,-4.538788017653766493e-01,5.000000000000000000e+00
3.407986666591069636e+00,-4.540321478774932418e-01,5.000000000000000000e+00
3.408018082831767881e+00,-4.541855013669814367e-01,5.000000000000000000e+00
3.408049499072466126e+00,-4.543388622215697170e-01,5.000000000000000000e+00
3.408080915313164816e+00,-4.544922304289696346e-01,5.000000000000000000e+00
3.408112331553862617e+00,-4.546456059768880231e-01,5.000000000000000000e+00
3.408143747794561307e+00,-4.547989888530378222e-01,5.000000000000000000e+00
3.408175164035259552e+00,-4.549523790451027172e-01,5.000000000000000000e+00
3.408206580275957798e+00,-4.551057765407760525e-01,5.000000000000000000e+00
3.408237996516656043e+00,-4.552591813277425681e-01,5.000000000000000000e+00
3.408269412757354289e+00,-4.554125933936710169e-01,5.000000000000000000e+00
3.408300828998052978e+00,-4.555660127262360914e-01,5.000000000000000000e+00
3.408332245238750779e+00,-4.557194393130892807e-01,5.000000000000000000e+00
3.408363661479449469e+00,-4.558728731418949520e-01,5.000000000000000000e+00
3.408395077720147270e+00,-4.560263142002929371e-01,5.000000000000000000e+00
3.408426493960845960e+00,-4.561797624759277858e-01,5.000000000000000000e+00
3.408457910201544205e+00,-4.563332179564325575e-01,5.000000000000000000e+00
3.408489326442242451e+00,-4.564866806294294865e-01,5.000000000000000000e+00
3.408520742682941140e+00,-4.566401504825438051e-01,5.000000000000000000e+00
3.408552158923638942e+00,-4.567936275033827043e-01,5.000000000000000000e+00
3.408583575164337631e+00,-4.569471116795565391e-01,5.000000000000000000e+00
3.408614991405035433e+00,-4.571006029986605101e-01,5.000000000000000000e+00
3.408646407645734122e+00,-4.572541014482912058e-01,5.000000000000000000e+00
3.408677823886432368e+00,-4.574076070160280616e-01,5.000000000000000000e+00
3.408709240127130613e+00,-4.575611196894538990e-01,5.000000000000000000e+00
3.408740656367828858e+00,-4.577146394561371068e-01,5.000000000000000000e+00
3.408772072608527104e+00,-4.578681663036420213e-01,5.000000000000000000e+00
3.408803488849225793e+00,-4.580217002195310361e-01,5.000000000000000000e+00
3.408834905089923595e+00,-4.581752411913447287e-01,5.000000000000000000e+00
3.408866321330622284e+00,-4.583287892066395530e-01,5.000000000000000000e+00
3.408897737571320530e+00,-4.584823442529403215e-01,5.000000000000000000e+00
3.408929153812018775e+00,-4.586359063177818940e-01,5.000000000000000000e+00
3.408960570052717021e+00,-4.587894753886900823e-01,5.000000000000000000e+00
3.408991986293415266e+00,-4.589430514531748218e-01,5.000000000000000000e+00
